ID, SL, PO, interorbital DIstance iO
G5_4.JPG, 2.77073651786, 3.09166015314, 2.36896700327, 
G1_19.JPG, 4.22915729426, 4.76982892142, 3.57773982266, 
G3_7.JPG, 3.73154230307, 4.06447163897, 2.99248030665, 
G2_10.JPG, 3.56768984824, 3.94022377151, 2.99408651792, 
G2_17.JPG, 3.53831162087, 4.44325597084, 3.33194523566, 
G5_15.JPG, 2.55230608692, 2.83926727695, 2.10366668122, 
G1_15.JPG, 4.48536729643, 5.24010464789, 3.7607891524, 
G2_8.JPG, 3.14914352714, 3.54076949375, 2.64507135318, 
G2_13.JPG, 3.1052737806, 3.58016472386, 2.60394733626, 
G4_20.JPG, 2.29111466112, 2.55000414928, 2.10418019197, 
G3_3.JPG, 3.90363368446, 4.29393820019, 3.05490383375, 
G4_17.JPG, 1.84772093093, 2.00742588576, 1.60392055004, 
G4_7.JPG, 2.25556036593, 2.3914944053, 1.91263627198, 
G3_19.JPG, 4.31862724134, 4.77320169246, 3.55484505917, 
G3_4.JPG, 3.32704386578, 3.60293650513, 2.78847373256, 
G4_6.JPG, 2.05963073921, 2.19321735001, 1.7818270412, 
G5_12.JPG, 2.4305280853, 2.74659833127, 2.01034356629, 
G5_10.JPG, 2.22224708229, 2.44484344024, 1.86019404179, 
G4_3.JPG, 2.23554388755, 2.46216021544, 1.97375790943, 
G2_6.JPG, 3.06985188503, 3.55999251533, 2.55348250865, 
G5_21.JPG, 2.31903066484, 2.596172448, 1.96589490147, 
